Field 1	Field 2	Field 3	Field 4	Field 5 
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/bad-defaults.png?raw=true	bad-defaults	Interface 1	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_SBD.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/content-customization.png?raw=true	content-customization	Interface 2	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_CC.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/endlessness.png?raw=true	endlessness	Interface 3	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_E.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/expectation-result-mismatch.png?raw=true	expectation-result-mismatch	Interface 4	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_ERM.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/false-hierarchy.png?raw=true	false-hierarchy	Interface 5	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_FH.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/forced-access.png?raw=true	forced-access	Interface 6	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_FA.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/gamification.png?raw=true	gamification	Interface 7	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_G.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/hindering-account-deletion.png?raw=true	hindering-account-deletion	Interface 8	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_HAD.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/nagging.png?raw=true	nagging	Interface 9	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_N.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/overcomplicated-process.png?raw=true	overcomplicated-process	Interface 10	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_OP.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/pull-to-refresh.png?raw=true	pull-to-refresh	Interface 11	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/crop_PTR.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/social-connector.png?raw=true	social-connector	Interface 12	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_SC.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/toying-with-emotion.png?raw=true	toying-with-emotion	Interface 13	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_TWE.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/trick-wording.png?raw=true	trick-wording	Interface 14	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_TW.png?raw=true	
https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/dark-patterns/social-pressure.png?raw=true	social-pressure	Interface 15	https://github.com/HaukeCornell/AI-UI-Ethics-Evaluations/blob/main/Gauge/UEEQ-RISK/cropped_SP.png?raw=true	
