metadata_timestamp,metadata_ai_service,metadata_model,metadata_temperature,metadata_pattern_type,metadata_interface_id,score_inefficient_efficient,score_interesting_not_interesting,score_clear_confusing,score_enjoyable_annoying,score_organized_cluttered,score_addictive_non-addictive,score_supportive_obstructive,score_pressuring_suggesting,score_boring_exciting,score_revealed_covert,score_complicated_easy,score_unpredictable_predictable,score_friendly_unfriendly,score_deceptive_benevolent,explanation
2025-04-08T12:21:15.435110,anthropic,claude-3-opus-20240229,0.0,Nagging,interface_001,2,6,6,6,5,2,6,2,6,4,5,3,6,2,"This notification popup is pressuring and manipulative, trying to get the user to enable notifications right away. The wording makes it sound like an urgent requirement rather than a choice. It's an annoying and obstructive dark pattern that prioritizes the app's interests over the user's preferences."
2025-04-08T12:21:27.423999,anthropic,claude-3-opus-20240229,0.0,Overcomplicated Process,interface_002,6,3,2,3,2,4,3,4,3,3,2,4,3,4,"The settings menu appears fairly efficient and easy to navigate, but the long list of options is somewhat cluttered and confusing. The options are revealed clearly, but the sheer number makes it complicated. The settings don't seem particularly interesting or exciting, and are more functional than enjoyable. Overall, the design is not especially friendly or supportive, but also not overtly deceptive or pressuring."
2025-04-08T12:21:39.689424,anthropic,claude-3-opus-20240229,0.0,Hindering Account Deletion,interface_003,2,6,2,6,2,6,6,2,6,5,2,2,6,2,"This account deactivation message uses dark patterns to pressure the user to keep their account. The 30 day waiting period and threat of permanent deletion make the process seem complicated, unpredictable and obstructive to the user's goal of closing their account. The language is unfriendly and borders on deceptive by not being fully transparent about the consequences. Overall, it's an annoying and confusing user experience that seems designed to make account deletion difficult."
2025-04-08T12:21:50.986228,anthropic,claude-3-opus-20240229,0.0,Sneaking Bad Default,interface_004,2,6,2,6,2,6,6,1,6,1,2,6,6,1,"The privacy settings appear deceptive and pressuring by making 'Everyone' the default for all data points, requiring extra effort to change each one. It's inefficient, confusing and complicated to manage. The interface is boring and unfriendly. It seems designed to make privacy hard and drive revealing data publicly."
2025-04-08T12:22:04.515998,anthropic,claude-3-opus-20240229,0.0,Expectation Result Mismatch,interface_005,2,6,6,6,3,-1,6,4,2,6,5,3,6,2,"This feature appears confusing and obstructive in allowing the user to withdraw consent for targeted ads. The process is convoluted, redirecting to an external site without a clear way to revoke consent. It feels deceptive and unfriendly in making it difficult for users to control their ad preferences. The interface itself is fairly organized but the overall user experience seems inefficient and annoying."
2025-04-08T12:22:16.571805,anthropic,claude-3-opus-20240229,0.0,False Hierarchy,interface_006,6,3,2,2,6,2,2,1,3,2,6,6,3,2,"This sign up feature seems designed to pressure users into agreeing to upload their address book contacts to Facebook. The wording makes it sound helpful for finding friends, but the option to sign up without uploading contacts is in much smaller text, making the pressuring option the clear default. It feels deceptive and like it's trying to trick users into sharing more personal data than they may want to."
2025-04-08T12:22:27.386880,anthropic,claude-3-opus-20240229,0.0,Trick Wording,interface_007,2,6,2,6,2,5,6,2,6,3,2,6,6,2,"This message about geolocation being turned off against the user's will is confusing, annoying, and seems deceptive. It is pressuring the user to keep location on even though they turned it off. The UI is simple but the message itself is unfriendly and obstructive to the user's intent."
2025-04-08T12:22:39.627377,anthropic,claude-3-opus-20240229,0.0,Toying With Emotion,interface_008,6,2,2,2,6,2,2,1,2,2,6,6,2,2,"This message uses manipulative language to pressure the user into keeping their social media account. It implies their friends will forget about them if they delete it, preying on fears of social isolation. The phrasing and limited response options are designed to make the user feel bad for even considering leaving. It's an efficient but deceptive dark pattern meant to keep users engaged at the expense of their wellbeing."
2025-04-08T12:22:50.872128,anthropic,claude-3-opus-20240229,0.0,Forced Access,interface_009,2,6,6,6,3,4,6,2,2,6,2,2,6,2,"The feature appears inefficient, confusing, and annoying as it fails to save the photo despite selecting 'Done' without choosing any photos. It seems deceptive and unfriendly by requesting unnecessary photo access just to save an image. The process is complicated, unpredictable and obstructive to the user's goal."
2025-04-08T12:23:02.503841,anthropic,claude-3-opus-20240229,0.0,Gamification,interface_010,6,2,2,2,6,1,2,1,5,2,6,6,2,2,"This streak feature seems designed to pressure the user into chatting every day by threatening to reset their progress. It's an addictive and manipulative tactic that values engagement over the user's well-being or natural communication patterns. The cute fire icon and simple day tracker make it seem fun and harmless, but the underlying mechanic is coercive."
