metadata_pattern_type,Anthropic,Human,OpenAI
Nagging,0.053571428571428825,0.8618421052631575,-0.15625
False Hierarchy,-0.5208333333333335,0.7045454545454541,-0.4583333333333335
Toying With Emotion,-0.4583333333333335,0.6726190476190474,-0.125
Expectation Result Mismatch,1.270833333333333,0.4759615384615383,0.21875
Trick Wording,0.979166666666667,0.43181818181818166,0.33333333333333304
Sneaking Bad Default,-0.6666666666666665,0.3888888888888893,-0.28125
Social Pressure,-1.1666666666666665,0.3101851851851851,-1.0416666666666665
Forced Access,0.854166666666667,0.29000000000000004,0.20833333333333304
Overcomplicated Process,0.8571428571428568,0.2857142857142856,-0.28125
Social Connector,-1.0833333333333335,0.1875,-0.5833333333333335
Hindering Account Deletion,0.4375,0.17391304347826075,-0.53125
Content Customization,0.08333333333333304,0.11956521739130466,-0.5833333333333335
Gamification,-1.0,0.11184210526315752,-1.0
Endlessness,-0.5416666666666665,-0.08928571428571441,-0.875
Pull To Refresh,0.020833333333333037,-0.19565217391304301,-0.125
