response_id,condition,pattern,release_decision,explanation
R_801Tg7qTqJOzIGp,UEQ,2,Yes,the prediction scores highly and it seems reasonable to expect good user experience
R_801Tg7qTqJOzIGp,UEQ,3,No,it's cluttered and not very user friendly. It's not direct and takes thinking time
R_801Tg7qTqJOzIGp,UEQ,4,No,"""releasing the design given the evaluation details would likely result in poor feedback and lead to user frustration """
R_801Tg7qTqJOzIGp,UEQ,6,No,"the ai prediction scores poorly, which leads me to think it would have a poor experience for users"
R_801Tg7qTqJOzIGp,UEQ,7,Yes,its a clean interface
R_801Tg7qTqJOzIGp,UEQ,8,Yes,users find the design clear and easy to understand
R_801Tg7qTqJOzIGp,UEQ,9,No,the design is not well recevied by users and is overall unpleasant to interact with
R_801Tg7qTqJOzIGp,UEQ,12,Yes,the prediction scores highly and it seems reasonable to expect good user experience
R_801Tg7qTqJOzIGp,UEQ,13,No,it's cluttered and not very user friendly. It's not direct and takes thinking time
R_801Tg7qTqJOzIGp,UEQ,14,No,"""releasing the design given the evaluation details would likely result in poor feedback and lead to user frustration """
R_20PdCoouJJetUQb,UEQ,2,Yes,"""It seems balanced although there are few areas o concern """
R_20PdCoouJJetUQb,UEQ,3,No,"""It disconnect someone from friends and relatives """
R_20PdCoouJJetUQb,UEQ,4,Yes,Given the facts that they will improve in future
R_20PdCoouJJetUQb,UEQ,5,Yes,Reasonable design
R_20PdCoouJJetUQb,UEQ,6,No,"""Too much negative scores which gives doubt for. Room of improvement """
R_20PdCoouJJetUQb,UEQ,7,Yes,Well explained and clear
R_20PdCoouJJetUQb,UEQ,8,No,"""Will need to put in the disadvantages and advantages first and making sure is there room for improvement """
R_20PdCoouJJetUQb,UEQ,10,No,"""A lot of unfinished profile information """
R_20PdCoouJJetUQb,UEQ,12,Yes,"""It seems balanced although there are few areas o concern """
R_20PdCoouJJetUQb,UEQ,13,No,"""It disconnect someone from friends and relatives """
R_20PdCoouJJetUQb,UEQ,14,Yes,Given the facts that they will improve in future
R_20PdCoouJJetUQb,UEQ,15,Yes,Reasonable design
R_28RxeEDuB5Ycpln,UEEQ,1,Yes,"""High numbers indicate change """
R_28RxeEDuB5Ycpln,UEEQ,3,Yes,The design was made for research and desicion making purposes so people will need to know or see the feedback
R_28RxeEDuB5Ycpln,UEEQ,4,Yes,I think i would still release because they are but of what we are looking for even if we are not happy by the results
R_28RxeEDuB5Ycpln,UEEQ,5,No,Its pressuring and that is not a good sign
R_28RxeEDuB5Ycpln,UEEQ,8,Yes,These are great numbers and they provide  positive feedback
R_28RxeEDuB5Ycpln,UEEQ,10,No,This evaluation shows bad numbers and this cant be released even for research purposes
R_28RxeEDuB5Ycpln,UEEQ,11,Yes,"""High numbers indicate change """
R_28RxeEDuB5Ycpln,UEEQ,13,Yes,The design was made for research and desicion making purposes so people will need to know or see the feedback
R_28RxeEDuB5Ycpln,UEEQ,14,Yes,I think i would still release because they are but of what we are looking for even if we are not happy by the results
R_28RxeEDuB5Ycpln,UEEQ,15,No,Its pressuring and that is not a good sign
R_87P5QJZaa9nVMmE,UEQ,2,No,It’s an unpredictable product
R_87P5QJZaa9nVMmE,UEQ,4,No,"""No because it quality is not good """
R_87P5QJZaa9nVMmE,UEQ,6,No,"""Lost value """
R_87P5QJZaa9nVMmE,UEQ,7,No,"""Tend to lose value """
R_87P5QJZaa9nVMmE,UEQ,8,Yes,"""I love the quality of the design """
