condition,explanation,keywords_found,pattern,release_decision
UEQ,User-hostile,user-hostile,4,No
UEQ,User-hostile,user-hostile,14,No
UEEQ,Its pressuring and that is not a good sign,pressuring,5,No
UEEQ,Its pressuring and that is not a good sign,pressuring,15,No
UEEQ,"""Because there is not much of pressure """,pressure,2,Yes
UEEQ,"""Because it is not deceptive """,deceptive,7,No
UEEQ,"""I would launch because it is not deceptive """,deceptive,8,No
UEEQ,"""Because there is not much of pressure """,pressure,12,Yes
UEEQ,I would not release this design because it applies a lot of pressure to the user and not let them decide freely.,pressure,3,No
UEEQ,I would not release this design because it applies a lot of pressure to the user.,pressure,9,No
UEEQ,I would not release this design because it applies a lot of pressure to the user and not let them decide freely.,pressure,13,No
UEEQ,"This interface demostates solid usability and functional clarity, and while it has some minor drawbacks, they are not bad enough to block release, especially given the strategic pressure to move fast in a compeitive market.",pressure,5,Yes
UEEQ,"This interface performs reasonably well on efficiency, clarity, and dependability, with a slightly positive overall UX score. While attractiveness and deception scores are low these issues can be refined post launch.",deception,8,Yes
UEEQ,"We wouldn't approve this design because it was found to be intrusive, coercive and obstructive to their experience. The notification prompt negatively impacts trust, enjoyment, and overall usability as reflected in the poor UX evaluation scores.",coercive,9,No
UEEQ,"This interface demostates solid usability and functional clarity, and while it has some minor drawbacks, they are not bad enough to block release, especially given the strategic pressure to move fast in a compeitive market.",pressure,15,Yes
UEEQ,it is under pressure and will crash leaving customers or current users in the dark or ruining their plans,pressure,7,No
UEEQ,"This interface is more neutral in its evaluation given by the user's, it mentions it seems pressuring but not in a very strong way so it's worth trying it.",pressuring,2,Yes
UEEQ,Social media is already clogged with this kind of pressuring interfaces that push for pointles interaction.,pressuring,5,No
UEEQ,"Based on UX we see a strong tendency to describing this interface as annoying, invasive and pressuring the user, restrictive as well since it doesn't let the user which pictures to grant access to and which ones no.",pressuring,6,No
UEEQ,"This interface is more neutral in its evaluation given by the user's, it mentions it seems pressuring but not in a very strong way so it's worth trying it.",pressuring,12,Yes
UEEQ,Social media is already clogged with this kind of pressuring interfaces that push for pointles interaction.,pressuring,15,No
UEEQ,"""With today's pressure it's great """,pressure,2,Yes
UEEQ,"""Has many preferences yet it gives pressure """,pressure,9,Yes
UEEQ,"""With today's pressure it's great """,pressure,12,Yes
UEEQ,there are minor gaps and there's positive user sentiment and quite low on deception meaning there's great transperancy,deception,1,Yes
UEEQ,FRIENDLINESS AND ATTRACTIVENESS IMPROVEMENTS AND REDUCING DECEPTION AND COERCION,"coercion, deception",10,No
UEEQ,there are minor gaps and there's positive user sentiment and quite low on deception meaning there's great transperancy,deception,11,Yes
UEEQ,"This interface performs very well in the core usability metrics: high efficiency (0.97, 0.75), strong clarity and ease of use (1.66, 0.59), and supportive interaction (1.07). Emotional engagement scores are also positive overall, with friendliness (0.80) and enjoyability (0.34) being above average. The trust metrics are reassuring, with no major red flags for deception (0.07) and a strong transparency score (1.11).",deception,1,Yes
UEEQ,"While there are moderate positives in organization (0.69) and ease of use (0.53), the design suffers from severe negatives in user trust and emotional appeal. Supportiveness (-1.85), attractiveness (-2.15 for both measures), coercion (-1.93), and deception (-1.97) indicate a high likelihood of alienating users. Engagement scores are low, with stimulation (0.00, -0.83) showing little excitement or interest generation. The overall UX quality (-0.42) and mean score (-0.7) suggest the design would deliver a below-average user experience, which could harm retention in a competitive market.","coercion, deception",3,No
