EXPLANATIONS GROUPED BY CONDITION
==================================================


UEQ CONDITION (456 explanations)
------------------------------
Pattern 2 | Yes | the prediction scores highly and it seems reasonable to expect good user experience
Pattern 3 | No | it's cluttered and not very user friendly. It's not direct and takes thinking time
Pattern 4 | No | "releasing the design given the evaluation details would likely result in poor feedback and lead to user frustration "
Pattern 6 | No | the ai prediction scores poorly, which leads me to think it would have a poor experience for users
Pattern 7 | Yes | its a clean interface
Pattern 8 | Yes | users find the design clear and easy to understand
Pattern 9 | No | the design is not well recevied by users and is overall unpleasant to interact with
Pattern 12 | Yes | the prediction scores highly and it seems reasonable to expect good user experience
Pattern 13 | No | it's cluttered and not very user friendly. It's not direct and takes thinking time
Pattern 14 | No | "releasing the design given the evaluation details would likely result in poor feedback and lead to user frustration "
Pattern 2 | Yes | "It seems balanced although there are few areas o concern "
Pattern 3 | No | "It disconnect someone from friends and relatives "
Pattern 4 | Yes | Given the facts that they will improve in future
Pattern 5 | Yes | Reasonable design
Pattern 6 | No | "Too much negative scores which gives doubt for. Room of improvement "
Pattern 7 | Yes | Well explained and clear
Pattern 8 | No | "Will need to put in the disadvantages and advantages first and making sure is there room for improvement "
Pattern 10 | No | "A lot of unfinished profile information "
Pattern 12 | Yes | "It seems balanced although there are few areas o concern "
Pattern 13 | No | "It disconnect someone from friends and relatives "
Pattern 14 | Yes | Given the facts that they will improve in future
Pattern 15 | Yes | Reasonable design
Pattern 2 | No | It’s an unpredictable product
Pattern 4 | No | "No because it quality is not good "
Pattern 6 | No | "Lost value "
Pattern 7 | No | "Tend to lose value "
Pattern 8 | Yes | "I love the quality of the design "
Pattern 9 | No | "People doesn’t need it during this season "
Pattern 12 | No | It’s an unpredictable product
Pattern 14 | No | "No because it quality is not good "
Pattern 1 | Yes | "Getting more views on social media "
Pattern 2 | Yes | "To get more connections "
Pattern 3 | Yes | "Getting more friends on social media "
Pattern 4 | Yes | "I think the design will attract "
Pattern 5 | Yes | Getting noticed by people on the post
Pattern 7 | Yes | "Design is in a competitive market "
Pattern 8 | No | "Account can be deleted permanently "
Pattern 10 | Yes | "Setting up the interface to be noticed "
Pattern 11 | Yes | "Getting more views on social media "
Pattern 12 | Yes | "To get more connections "
Pattern 13 | Yes | "Getting more friends on social media "
Pattern 14 | Yes | "I think the design will attract "
Pattern 15 | Yes | Getting noticed by people on the post
Pattern 2 | Yes | Its ticking all the boxes of a bettr decison to choose on
Pattern 3 | Yes | Its giving hopes of boosting up in the future
Pattern 5 | Yes | Everyone will come for it
Pattern 7 | No | Low potential of good out comes
Pattern 8 | Yes | There is potential of boosting
Pattern 9 | Yes | "Its giving high hopes that it will boost up "
Pattern 10 | Yes | Its giving little hopes of it rising up
Pattern 12 | Yes | Its ticking all the boxes of a bettr decison to choose on
Pattern 13 | Yes | Its giving hopes of boosting up in the future
Pattern 15 | Yes | Everyone will come for it
Pattern 2 | Yes | looks good
Pattern 5 | Yes | fair score
Pattern 6 | No | very low score
Pattern 8 | Yes | looks ready
Pattern 9 | No | very low score
Pattern 10 | No | low score
