word,chi2,total_frequency,ueq_freq,ueeq_freq,raw_freq,ueq_pct,ueeq_pct,raw_pct,characteristic_condition,discrimination_score
goals,60.73856858846918,29,0,0,29,0.0,0.0,28.82703777335984,RAW,3.0
competitive,58.644135188866784,28,0,0,28,0.0,0.0,27.833001988071572,RAW,3.0
final,48.17196819085487,23,0,0,23,0.0,0.0,22.86282306163022,RAW,3.0
friendly,40.68415741675075,19,19,0,0,19.17255297679112,0.0,0.0,UEQ,3.0
efficient,55.67305751765893,26,26,0,0,26.236125126135217,0.0,0.0,UEQ,3.0
all,104.72166998011929,50,0,0,50,0.0,0.0,49.70178926441352,RAW,3.0
issues,76.94534050179212,43,0,43,0,0.0,38.530465949820794,0.0,UEEQ,3.0
content,43.9831013916501,21,0,0,21,0.0,0.0,20.874751491053676,RAW,3.0
team,56.54970178926442,27,0,0,27,0.0,0.0,26.8389662027833,RAW,3.0
pressuring,51.893369175627235,29,0,29,0,0.0,25.985663082437274,0.0,UEEQ,3.0
trust,50.10394265232976,28,0,28,0,0.0,25.089605734767026,0.0,UEEQ,3.0
just,43.9831013916501,21,0,0,21,0.0,0.0,20.874751491053676,RAW,3.0
coercion,51.893369175627235,29,0,29,0,0.0,25.985663082437274,0.0,UEEQ,3.0
efficiency,42.946236559139784,24,0,24,0,0.0,21.505376344086024,0.0,UEEQ,3.0
some,42.946236559139784,24,0,24,0,0.0,21.505376344086024,0.0,UEEQ,3.0
marketing,75.39960238568588,36,0,0,36,0.0,0.0,35.785288270377734,RAW,3.0
much,42.82542885973763,20,20,0,0,20.181634712411707,0.0,0.0,UEQ,3.0
approval,71.2107355864811,34,0,0,34,0.0,0.0,33.7972166998012,RAW,3.0
already,102.62723658051688,49,0,0,49,0.0,0.0,48.707753479125245,RAW,3.0
needs,36.401614530776996,17,17,0,0,17.154389505549947,0.0,0.0,UEQ,3.0
engagement,79.58846918489066,38,0,0,38,0.0,0.0,37.77335984095427,RAW,3.0
deceptive,39.36738351254481,22,0,22,0,0.0,19.71326164874552,0.0,UEEQ,3.0
approve,38.54288597376387,18,18,0,0,18.163471241170534,0.0,0.0,UEQ,3.0
data,60.84050179211471,34,0,34,0,0.0,30.46594982078853,0.0,UEEQ,3.0
metrics,42.82542885973763,20,20,0,0,20.181634712411707,0.0,0.0,UEQ,3.0
deception,48.314516129032256,27,0,27,0,0.0,24.193548387096772,0.0,UEEQ,3.0
lot,34.260343087790105,16,16,0,0,16.145307769929364,0.0,0.0,UEQ,3.0
annoying,51.893369175627235,29,0,29,0,0.0,25.985663082437274,0.0,UEEQ,3.0
other,43.9831013916501,21,0,0,21,0.0,0.0,20.874751491053676,RAW,3.0
low,59.95560040363269,28,28,0,0,28.254288597376387,0.0,0.0,UEQ,3.0
approved,60.73856858846918,29,0,0,29,0.0,0.0,28.82703777335984,RAW,3.0
need,48.17196819085487,23,0,0,23,0.0,0.0,22.86282306163022,RAW,3.0
quality,57.814328960645796,27,27,0,0,27.245206861755804,0.0,0.0,UEQ,3.0
market,48.17196819085487,23,0,0,23,0.0,0.0,22.86282306163022,RAW,3.0
off,43.9831013916501,21,0,0,21,0.0,0.0,20.874751491053676,RAW,3.0
given,52.360834990059644,25,0,0,25,0.0,0.0,24.85089463220676,RAW,3.0
development,43.9831013916501,21,0,0,21,0.0,0.0,20.874751491053676,RAW,3.0
attractiveness,73.36648745519715,41,0,41,0,0.0,36.738351254480285,0.0,UEEQ,3.0
notification,83.77733598409543,40,0,0,40,0.0,0.0,39.761431411530815,RAW,3.0
there,57.26164874551972,32,0,32,0,0.0,28.67383512544803,0.0,UEEQ,3.0
doesnt,46.077534791252475,22,0,0,22,0.0,0.0,21.86878727634195,RAW,3.0
easy,32.59651341003228,53,33,20,0,33.29969727547932,17.921146953405017,0.0,UEQ,1.9503601186273127
overall,56.87589264256829,94,58,36,0,58.52674066599395,32.25806451612903,0.0,UEQ,1.934026532807458
