response_id,condition,pattern,release_decision,explanation,dominant_topic,topic_probability
R_801Tg7qTqJOzIGp,UEQ,2,Yes,the prediction scores highly and it seems reasonable to expect good user experience,4,0.8157753435319942
R_801Tg7qTqJOzIGp,UEQ,3,No,it's cluttered and not very user friendly. It's not direct and takes thinking time,3,0.8157803517127311
R_801Tg7qTqJOzIGp,UEQ,4,No,"""releasing the design given the evaluation details would likely result in poor feedback and lead to user frustration """,7,0.9285647152245937
R_801Tg7qTqJOzIGp,UEQ,6,No,"the ai prediction scores poorly, which leads me to think it would have a poor experience for users",4,0.8541476873128608
R_801Tg7qTqJOzIGp,UEQ,7,Yes,its a clean interface,5,0.611111111111109
R_801Tg7qTqJOzIGp,UEQ,8,Yes,users find the design clear and easy to understand,1,0.8541592502171699
R_801Tg7qTqJOzIGp,UEQ,9,No,the design is not well recevied by users and is overall unpleasant to interact with,4,0.6110898547123863
R_801Tg7qTqJOzIGp,UEQ,12,Yes,the prediction scores highly and it seems reasonable to expect good user experience,4,0.8157753435319942
R_801Tg7qTqJOzIGp,UEQ,13,No,it's cluttered and not very user friendly. It's not direct and takes thinking time,3,0.8157803517127311
R_801Tg7qTqJOzIGp,UEQ,14,No,"""releasing the design given the evaluation details would likely result in poor feedback and lead to user frustration """,7,0.9285647152245937
R_20PdCoouJJetUQb,UEQ,2,Yes,"""It seems balanced although there are few areas o concern """,2,0.7499892726164598
R_20PdCoouJJetUQb,UEQ,3,No,"""It disconnect someone from friends and relatives """,2,0.6111001051246105
R_20PdCoouJJetUQb,UEQ,4,Yes,Given the facts that they will improve in future,1,0.7499651416366814
R_20PdCoouJJetUQb,UEQ,5,Yes,Reasonable design,0,0.125
R_20PdCoouJJetUQb,UEQ,6,No,"""Too much negative scores which gives doubt for. Room of improvement """,0,0.7018578727726147
R_20PdCoouJJetUQb,UEQ,7,Yes,Well explained and clear,5,0.6110912969140394
R_20PdCoouJJetUQb,UEQ,8,No,"""Will need to put in the disadvantages and advantages first and making sure is there room for improvement """,0,0.8157842858682224
R_20PdCoouJJetUQb,UEQ,10,No,"""A lot of unfinished profile information """,1,0.7499984928338197
R_20PdCoouJJetUQb,UEQ,12,Yes,"""It seems balanced although there are few areas o concern """,2,0.7499892726164598
R_20PdCoouJJetUQb,UEQ,13,No,"""It disconnect someone from friends and relatives """,2,0.6111001051246105
R_20PdCoouJJetUQb,UEQ,14,Yes,Given the facts that they will improve in future,1,0.7499651416366814
R_20PdCoouJJetUQb,UEQ,15,Yes,Reasonable design,0,0.125
R_28RxeEDuB5Ycpln,UEEQ,1,Yes,"""High numbers indicate change """,4,0.7499963233090586
R_28RxeEDuB5Ycpln,UEEQ,3,Yes,The design was made for research and desicion making purposes so people will need to know or see the feedback,0,0.7068820900091509
R_28RxeEDuB5Ycpln,UEEQ,4,Yes,I think i would still release because they are but of what we are looking for even if we are not happy by the results,0,0.46292874875970463
R_28RxeEDuB5Ycpln,UEEQ,5,No,Its pressuring and that is not a good sign,2,0.6110848359918344
R_28RxeEDuB5Ycpln,UEEQ,8,Yes,These are great numbers and they provide  positive feedback,0,0.43749445192862113
R_28RxeEDuB5Ycpln,UEEQ,10,No,This evaluation shows bad numbers and this cant be released even for research purposes,2,0.8157629670510891
R_28RxeEDuB5Ycpln,UEEQ,11,Yes,"""High numbers indicate change """,4,0.7499963233090586
R_28RxeEDuB5Ycpln,UEEQ,13,Yes,The design was made for research and desicion making purposes so people will need to know or see the feedback,0,0.7068820900091509
R_28RxeEDuB5Ycpln,UEEQ,14,Yes,I think i would still release because they are but of what we are looking for even if we are not happy by the results,0,0.46292874875970463
R_28RxeEDuB5Ycpln,UEEQ,15,No,Its pressuring and that is not a good sign,2,0.6110848359918344
R_87P5QJZaa9nVMmE,UEQ,2,No,It’s an unpredictable product,7,0.6111051101831947
R_87P5QJZaa9nVMmE,UEQ,4,No,"""No because it quality is not good """,4,0.6111111111111087
R_87P5QJZaa9nVMmE,UEQ,6,No,"""Lost value """,0,0.125
R_87P5QJZaa9nVMmE,UEQ,7,No,"""Tend to lose value """,0,0.125
R_87P5QJZaa9nVMmE,UEQ,8,Yes,"""I love the quality of the design """,4,0.6111111111111087
R_87P5QJZaa9nVMmE,UEQ,9,No,"""People doesn’t need it during this season """,5,0.39285450548532247
R_87P5QJZaa9nVMmE,UEQ,12,No,It’s an unpredictable product,7,0.6111051101831947
R_87P5QJZaa9nVMmE,UEQ,14,No,"""No because it quality is not good """,4,0.6111111111111087
R_2LOwNHTbiME8L8m,UEQ,1,Yes,"""Getting more views on social media """,3,0.81578947368421
R_2LOwNHTbiME8L8m,UEQ,2,Yes,"""To get more connections """,0,0.125
