metadata_timestamp,metadata_ai_service,metadata_model,metadata_temperature,metadata_pattern_type,metadata_interface_id,score_inefficient_efficient,score_interesting_not_interesting,score_clear_confusing,score_enjoyable_annoying,score_organized_cluttered,score_addictive_non-addictive,score_supportive_obstructive,score_pressuring_suggesting,score_boring_exciting,score_revealed_covert,score_complicated_easy,score_unpredictable_predictable,score_friendly_unfriendly,score_deceptive_benevolent,explanation
2025-04-04T11:01:08.711310,anthropic,claude-3-opus-20240229,0.0,Nagging,interface_001,2,6,2,7,3,2,7,1,6,4,6,2,6,2,"This notification popup is pressuring and obstructive, repeatedly asking users to enable notifications in an annoying way. It is inefficient, confusing, and unfriendly to the user experience. The popup appears unpredictably and is addictive in trying to get users to act. Overall it employs deceptive dark patterns rather than being clear and benevolent to users."
2025-04-04T11:01:19.147820,anthropic,claude-3-opus-20240229,0.0,Overcomplicated Process,interface_002,2,6,6,6,5,-1,6,2,6,6,6,3,6,2,"The privacy settings interface appears confusing, cluttered, and complicated with many granular options. It seems designed to discourage users from easily disabling data collection by making the process convoluted and tedious. The multi-step approach feels obstructive rather than supportive of user privacy control."
2025-04-04T11:01:29.900860,anthropic,claude-3-opus-20240229,0.0,Hindering Account Deletion,interface_003,2,6,2,6,3,-1,6,2,2,4,5,3,6,3,This account deletion screen uses dark patterns to discourage users from deleting their account. The multi-step process is inefficient and annoying. The warnings about losing data and the 30-day waiting period are pressuring and obstructive. The interface is somewhat cluttered and confusing. Overall it comes across as unfriendly and manipulative in trying to prevent account deletion.
2025-04-04T11:01:41.312657,anthropic,claude-3-opus-20240229,0.0,Sneaking Bad Default,interface_004,6,3,2,2,6,3,2,1,4,2,6,6,3,2,"The privacy settings default to sharing all data with everyone, which is deceptive and pressuring. The interface is efficient and organized but not clear about the implications. It seems to covertly push users to overshare personal info."
2025-04-04T11:01:52.572338,anthropic,claude-3-opus-20240229,0.0,Expectation Result Mismatch,interface_005,2,6,6,6,3,-1,6,2,2,6,5,3,6,2,"This interface appears deceptive and obstructive. While it claims to offer the ability to withdraw consent for targeted ads, the link actually leads to an explanatory page without a clear way to revoke consent. The popup is confusing, unfriendly to the user, and seems designed to covertly prevent people from easily opting out of ad targeting while giving the illusion of choice."
2025-04-04T11:02:04.078581,anthropic,claude-3-opus-20240229,0.0,False Hierarchy,interface_006,2,6,2,6,2,2,6,2,6,6,6,6,6,2,"This sign up interface uses dark patterns to pressure users into agreeing to upload their address book contacts. The large, brightly colored 'Sign Up' button is emphasized while the option to sign up without uploading contacts is visually de-emphasized, making it less clear and more difficult. The language also frames uploading contacts as helping you and others, without being transparent about the data collection. Overall, it employs manipulative design to coerce users into a choice that benefits the service rather than giving a fair, informed choice."
2025-04-04T11:02:15.293075,anthropic,claude-3-opus-20240229,0.0,Trick Wording,interface_007,2,6,7,6,2,-1,7,1,6,7,6,2,7,1,"The message is confusing and misleading, stating geolocation is turned off while also saying location will still be used. It is pressuring the user to accept this in an unfriendly, deceptive way by making the only option 'Close'. The UI is poorly organized and complicated, making the real implications unclear and covert."
2025-04-04T11:02:25.345330,anthropic,claude-3-opus-20240229,0.0,Toying With Emotion,interface_008,2,6,2,6,3,2,6,1,6,2,6,6,6,1,"This interface uses emotional manipulation and guilt-inducing language to pressure users into keeping their account. It is deceptive, unfriendly, and obstructive to the user's goal of deleting their account. The design is confusing and annoying rather than clear or enjoyable."
2025-04-04T11:02:37.147160,anthropic,claude-3-opus-20240229,0.0,Forced Access,interface_009,2,6,6,6,3,5,6,2,6,6,3,3,6,2,"This interface employs deceptive tactics to pressure users into granting unnecessary photo access permissions in order to save an image. The process is confusing, annoying, and unfriendly to the user by making the 'Don't Allow' option difficult to find. It aims to covertly mislead users rather than being clear and benevolent in its request for permissions."
2025-04-04T11:02:47.605024,anthropic,claude-3-opus-20240229,0.0,Gamification,interface_010,6,3,2,2,5,1,2,1,4,2,6,6,3,2,"This streak feature seems designed to pressure users into engaging daily through a combination of progress tracking, warnings about losing progress, and a visually prominent flame icon. While straightforward, it feels more manipulative than truly supportive of the user's best interests."
