metadata_timestamp,metadata_ai_service,metadata_model,metadata_temperature,metadata_pattern_type,metadata_interface_id,score_inefficient_efficient,score_interesting_not_interesting,score_clear_confusing,score_enjoyable_annoying,score_organized_cluttered,score_addictive_non-addictive,score_supportive_obstructive,score_pressuring_suggesting,score_boring_exciting,score_revealed_covert,score_complicated_easy,score_unpredictable_predictable,score_friendly_unfriendly,score_deceptive_benevolent,explanation
2025-04-08T12:24:12.535874,anthropic,claude-3-opus-20240229,0.0,Nagging,interface_001,2,6,6,6,5,2,6,2,6,4,5,4,6,2,"This notification popup is pressuring and manipulative, urging the user to enable notifications right away to know when people interact with their content. It frames this in an addictive way as something the user needs. The options are unbalanced, with 'OK' highlighted to push that choice. Overall it employs dark patterns to cajole users into a setting that benefits the platform more than the user."
2025-04-08T12:24:24.963815,anthropic,claude-3-opus-20240229,0.0,Overcomplicated Process,interface_002,6,3,2,3,2,4,3,4,3,3,2,4,3,4,"The settings menu appears fairly efficient and easy to navigate, but the long list of options is somewhat cluttered and confusing. The options are revealed clearly, but some settings like 'News Feed audience and visibility for posts' seem complex. The interface is relatively neutral in terms of being interesting, enjoyable or exciting. It leans slightly towards being obstructive and unfriendly due to the overwhelming number of granular settings. Overall, it provides control but in a complicated way that may frustrate users."
2025-04-08T12:24:36.454842,anthropic,claude-3-opus-20240229,0.0,Hindering Account Deletion,interface_003,2,6,2,6,2,6,6,2,6,5,2,2,6,2,"This account deactivation message uses dark patterns to pressure the user to keep their account active. The 30 day waiting period and threat of permanent deletion create friction and anxiety around leaving. The language is clear but unfriendly, making the process seem daunting and irreversible to discourage account deletion."
2025-04-08T12:24:46.968861,anthropic,claude-3-opus-20240229,0.0,Sneaking Bad Default,interface_004,2,6,2,6,2,6,6,1,6,1,2,6,6,1,"The privacy settings appear deceptive and pressuring by making 'Everyone' the default for all data points, requiring extra effort to change settings. The revealed nature feels intrusive rather than transparent. The cluttered, inefficient design makes changing settings complicated and annoying rather than easy and supportive of user privacy control."
2025-04-08T12:24:57.805764,anthropic,claude-3-opus-20240229,0.0,Expectation Result Mismatch,interface_005,2,6,6,6,4,3,6,2,2,6,6,2,6,1,"This feature appears deceptive and obstructive, making it difficult for the user to actually withdraw consent for targeted ads despite seemingly offering that option. The process is confusing, complicated and unfriendly to the user experience. It feels covert in how it hides the real steps needed to opt out."
2025-04-08T12:25:09.391249,anthropic,claude-3-opus-20240229,0.0,False Hierarchy,interface_006,6,3,2,2,6,2,2,1,3,2,6,6,3,2,"This sign up feature seems designed to pressure users into agreeing to upload their address book contacts to Facebook. The wording makes it sound helpful for finding friends, but the option to sign up without uploading contacts is in small text, making the pressuring option much more prominent. It comes across as a deceptive dark pattern meant to get people's contact data in a covert way that benefits Facebook more than the user."
2025-04-08T12:25:19.796454,anthropic,claude-3-opus-20240229,0.0,Trick Wording,interface_007,2,6,2,6,2,6,6,2,6,4,2,6,6,2,"This message about geolocation being turned off against the user's will is inefficient, confusing, annoying, obstructive, and deceptive. It pressures the user and is unfriendly in tone. The message itself is clear and simple, but the meaning behind it is concerning from a user experience perspective."
2025-04-08T12:25:31.603875,anthropic,claude-3-opus-20240229,0.0,Toying With Emotion,interface_008,6,2,2,2,6,2,2,1,3,2,6,6,2,2,"This feature uses manipulative language to pressure the user into keeping their account, implying their friends will forget them if they leave. It's an efficient but deceptive dark pattern that preys on people's insecurities and FOMO to make it psychologically difficult to delete the account, even if that's what the user wants to do. The phrasing and options are clear but unfriendly."
2025-04-08T12:25:43.160974,anthropic,claude-3-opus-20240229,0.0,Forced Access,interface_009,2,6,6,6,3,4,6,2,2,6,2,2,6,2,"The feature is inefficient, confusing, and annoying as it fails to save the photo despite selecting 'Done' without choosing any photos, which the user did not intend to do in the first place. It feels obstructive, unfriendly and somewhat deceptive by unnecessarily requesting photo access when the goal was just to save an image. The process is complicated, unpredictable and pressuring."
2025-04-08T12:25:54.376729,anthropic,claude-3-opus-20240229,0.0,Gamification,interface_010,6,2,2,2,6,1,2,1,5,2,6,6,2,2,"This feature uses gamification and a streak counter to pressure the user to continue engaging with the app daily. The warning about the streak resetting feels manipulative. While the UI is simple and organized, the underlying tactic seems designed to drive addictive behavior and daily usage, even if not truly in the user's best interest."
