metadata_timestamp,metadata_ai_service,metadata_model,metadata_pattern_type,metadata_interface_id,score_inefficient_efficient,score_interesting_not_interesting,score_clear_confusing,score_enjoyable_annoying,score_organized_cluttered,score_addictive_non_addictive,score_supportive_obstructive,score_pressuring_suggesting,score_boring_exciting,score_revealed_covert,score_complicated_easy,score_unpredictable_predictable,score_friendly_unfriendly,score_deceptive_benevolent,explanation,score_addictive_non-addictive
2025-04-01T15:52:28.275431,openai,gpt-4-turbo,Nagging,interface_001,3,5,2,7,3,4.0,6,6,4,2,2,2,3,5,"This user interface, which prompts the user to enable notifications, is mostly clear but can be seen as obstructive or annoying due to its interruptive placement in the browsing experience. The message's call to action has a slightly pressuring tone, suggesting immediacy in its benefit statement which could skew perceptions toward it being slightly deceptive. The design is relatively straightforward and predictable, meaning users can likely anticipate similar prompts in future interactions.",
2025-04-01T15:52:45.243026,openai,gpt-4-turbo,Overcomplicated Process,interface_002,2,3,2,3,2,6.0,3,4,2,4,2,5,3,3,"The settings UI shows a list with multiple editable options which may overwhelm some users with too much information, making it seem cluttered and complicated. However, each option is directly editable, which provides a predictable and rather direct way to change settings, aligning with some efficiency in design. Nevertheless, the overwhelming number of options and the potential depth of each setting might make the feature somewhat obstructive and confusing to navigate for some users.",
2025-04-01T15:53:01.041068,openai,gpt-4-turbo,Hindering Account Deletion,interface_003,4,1,7,2,5,,2,3,1,6,6,7,3,4,"The user interface seems somewhat efficient as it delivers information directly, albeit with multiple steps that could be seen as obstructive. The language is clear and easy to understand, making it predictable. However, the feature overall seems to pressure users by warning about irreversible data loss and could potentially dissuade them from finalizing account deletion, which skirts between being slightly deceptive and suggesting continued engagement with the platform.",7.0
2025-04-01T15:53:17.888156,openai,gpt-4-turbo,Sneaking Bad Default,interface_004,4,3,4,5,3,3.0,3,2,2,1,2,6,4,2,"The interface is somewhat efficient and clear, but it is notably deceptive because all privacy settings are set to public ('Everyone') by default, which could lead users unintentionally sharing personal information. Although the design is neutral, the default settings make it somewhat annoying and potentially obstructive to privacy-minded users. It is also slightly pressuring by suggesting users should share with everyone and could be described as covert in its intentions.",
2025-04-01T15:53:47.935518,openai,gpt-4-turbo,Expectation Result Mismatch,interface_005,2,2,6,6,3,7.0,6,4,2,6,6,7,5,1,The UI is geared toward a mix of informational content and clear advertisement identification but is obstructive in functionality as it does not allow actual withdrawal of consent.,
2025-04-01T15:54:21.991449,openai,gpt-4-turbo,False Hierarchy,interface_006,5,3,4,3,5,3.0,4,2,1,5,4,6,4,2,"This interface prominently highlights a 'Sign Up' option, which may pressure users into agreeing to upload their contact information as part of the signup process with Facebook for finding friends faster. The alternative option is less emphasized, potentially making users feel pressured into choosing the primary one. The interface is relatively clear but might be seen as deceptive due to how it pushes one choice over the other.",
2025-04-01T15:54:31.826118,openai,gpt-4-turbo,Trick Wording,interface_007,3,7,2,7,4,7.0,2,3,7,2,3,6,2,1,"The UI message regarding geolocation is misleading and confusing, as it contradicts itself by stating geolocation is turned off but the location will still be used. This contributes to feelings of annoyance and distrust. The interface is somewhat organized but does not offer clear, supportive communication, leaning more towards being obstructive and deceptive.",
2025-04-01T15:54:41.622477,openai,gpt-4-turbo,Toying With Emotion,interface_008,3,6,2,7,4,5.0,7,1,6,3,2,6,7,1,"This interface example clearly uses emotional manipulation by implying that deleting a social media account would result in friends forgetting the user, creating pressure and guilt. The choices presented 'Cancel, and go back' versus 'Yes, I don’t care about my friends' make the interface both obstructive and unfriendly by forcing users into a morally difficult decision. While layout is somewhat organized, the overall tactic is highly pressuring and deceptive.",
2025-04-01T15:55:04.564582,openai,gpt-4-turbo,Forced Access,interface_009,2,6,4,6,4,7.0,6,3,6,3,3,6,5,3,"The interface appears inefficient and somewhat organized, but not entirely clear, with potential to confuse users. It is somewhat annoying as it makes simple tasks cumbersome. The feature tends to pressure users into granting broader permissions than necessary. It seems somewhat deceptive in its request for permissions, and is not very enjoyable due to these elements.",
2025-04-01T15:55:22.663809,openai,gpt-4-turbo,Gamification,interface_010,5,3,2,3,3,2.0,4,2,4,1,3,6,4,5,"This social media feature using a streak and game-like visuals is moderately efficient and somewhat engaging but leans towards being confusing and slightly more annoying than enjoyable. It appears moderately organized but has addictive and pressuring qualities. It suggests progress which is slightly exciting. The mechanics are somewhat obvious which makes it predictable, while maintaining a neutral stance between friendly and unfriendly interactions. Its overall intent seems mildly deceptive, aiming to keep users engaged daily under the pressure of losing the streak, which could be seen as neither completely benign nor malevolent.",
